
Initial statistics: 63 variables; iteration 0; function evaluation 0; phase 1
Function value 1.2643736e+03; maximum gradient component mag -5.5771e+03
 49  0.10996 -6.51539e+00 | 50  0.07674 -4.36697e+00 | 51 -0.06020  5.22310e+00
 52 -0.00116  1.93139e+00 | 53 -0.02475  4.43915e+00 | 54 -0.06081  7.43428e+00
 55  0.03043 -3.86638e+00 | 56  0.06833 -2.79081e+00 | 57 -0.03449  4.14584e+00
 58  0.15732 -7.15495e+00 | 59 -0.06730  8.29496e+00 | 60  0.12355  4.21100e-01
 61  0.12262  3.84280e+00 | 62  0.07744  4.53583e+00 | 63  0.15702  3.95859e+00
 64 -0.06140  2.99291e+00 | 65 -0.03496  6.92696e+00 | 66 -0.09279  1.26780e+01
 67 -0.08804  7.94823e+00 | 68 -0.25169  5.74108e+00 |

 - final statistics:
68 variables; iteration 56; function evaluation 69
Function value 3.4548e+02; maximum gradient component mag -6.1564e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.10691  1.33224e+00 |  2  0.43193 -2.43646e-01 |  3  0.05525 -1.43245e+00
  4 -0.54048 -3.40394e+00 |  5 -0.52077 -2.01746e+00 |  6 -0.18257 -6.15641e+00
  7 -0.00081 -3.49295e-02 |  8 -0.00181 -1.35086e-01 |  9 -0.00082  5.97142e-02
 10 -0.00083  1.36167e-01 | 11 -0.00386 -1.90717e-01 | 12 -0.00202  2.13754e-01
 13 -0.00496 -1.63303e-02 | 14 -0.00656  1.83103e-02 | 15 -0.00929 -1.36755e-02
 16 -0.01267 -7.84859e-03 | 17 -0.01742 -4.75196e-02 | 18 -0.02338 -9.01725e-02
 19 -0.02976 -1.72580e-02 | 20 -0.03835 -2.30726e-01 | 21 -0.04515 -3.26362e-01
 22 -0.04758 -3.71163e-01 | 23 -0.03962  2.06033e-01 | 24 -0.03084 -9.69408e-02
 25 -0.01508 -2.70651e-01 | 26  0.13302 -2.55365e-01 | 27 -0.19932  4.01490e-01
 28  0.18618 -2.98837e-01 | 29  0.01367 -1.97461e-01 | 30 -0.06831  1.74400e-01
 31 -0.13052  2.77105e-01 | 32  0.14084 -2.63095e-01 | 33 -0.15375  2.72567e-01
 34  0.15598 -1.17776e+00 | 35 -0.00086 -2.03661e-01 | 36 -0.05792 -9.89600e-02
 37 -0.25414  4.22600e-01 | 38 -0.06923  5.58534e-01 | 39  0.07375  1.51179e-01
 40  0.03826  3.11121e-01 | 41  0.02861  1.68470e-01 | 42  0.16719 -6.83419e-01
 43  0.02352  2.23816e-01 | 44 -0.05240  3.90486e-01 | 45 -0.06319  2.63008e-01
 46  0.09441  3.07650e-02 | 47  0.01139  1.84015e-01 | 48 -0.06047  7.10907e-01
 49  0.10982 -1.06006e-01 | 50  0.07701 -2.74723e-01 | 51 -0.06023  3.46468e-01
 52 -0.00093 -1.59369e-01 | 53 -0.02478 -1.93301e-02 | 54 -0.06266 -2.13948e-01
