"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"132",1991,1,4,0,0,1,56.5,56.5,1.82,0,0,0,0.153846153846154,0.846153846153846,0,0,0,0,0,0,0
"133",1991,1,4,0,0,1,57.5,57.5,0.28,0,0,0,0,1,0,0,0,0,0,0,0
"134",1991,1,4,0,0,1,58.5,58.5,1.12,0,0,0,0,1,0,0,0,0,0,0,0
"135",1991,1,4,0,0,1,59.5,59.5,0.98,0,0,0,0,0.857142857142857,0.142857142857143,0,0,0,0,0,0
"136",1991,1,4,0,0,1,60.5,60.5,1.26,0,0,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0
"137",1991,1,4,0,0,1,61.5,61.5,1.12,0,0,0,0,0.5,0.5,0,0,0,0,0,0
"138",1991,1,4,0,0,1,62.5,62.5,0.98,0,0,0,0,0.142857142857143,0.857142857142857,0,0,0,0,0,0
"139",1991,1,4,0,0,1,63.5,63.5,0.84,0,0,0,0,0.166666666666667,0.833333333333333,0,0,0,0,0,0
"140",1991,1,4,0,0,1,64.5,64.5,0.14,0,0,0,0,0,1,0,0,0,0,0,0
"141",1991,1,4,0,0,1,65.5,65.5,1.68,0,0,0,0,0.333333333333333,0.583333333333333,0.0833333333333333,0,0,0,0,0
"142",1991,1,4,0,0,1,66.5,66.5,0.7,0,0,0,0,0.2,0.8,0,0,0,0,0,0
"143",1991,1,4,0,0,1,67.5,67.5,1.26,0,0,0,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0
"144",1991,1,4,0,0,1,68.5,68.5,0.7,0,0,0,0,0,0.8,0.2,0,0,0,0,0
"145",1991,1,4,0,0,1,69.5,69.5,0.56,0,0,0,0,0,0.25,0.75,0,0,0,0,0
"146",1991,1,4,0,0,1,70.5,70.5,0.98,0,0,0,0,0,0.714285714285714,0.285714285714286,0,0,0,0,0
"147",1991,1,4,0,0,1,71.5,71.5,0.56,0,0,0,0,0,0,1,0,0,0,0,0
"148",1991,1,4,0,0,1,72.5,72.5,0.56,0,0,0,0,0,0.25,0.75,0,0,0,0,0
"149",1991,1,4,0,0,1,73.5,73.5,0.28,0,0,0,0,0,0.5,0.5,0,0,0,0,0
"150",1991,1,4,0,0,1,74.5,74.5,0.7,0,0,0,0,0,0,1,0,0,0,0,0
"151",1991,1,4,0,0,1,75.5,75.5,0.7,0,0,0,0,0,0,1,0,0,0,0,0
"152",1991,1,4,0,0,1,76.5,76.5,0.7,0,0,0,0,0,0,0.6,0.4,0,0,0,0
"153",1991,1,4,0,0,1,77.5,77.5,0.7,0,0,0,0,0,0,0.6,0.4,0,0,0,0
"154",1991,1,4,0,0,1,78.5,78.5,0.28,0,0,0,0,0,0,1,0,0,0,0,0
"155",1991,1,4,0,0,1,79.5,79.5,0.42,0,0,0,0,0,0,0.333333333333333,0.666666666666667,0,0,0,0
"156",1991,1,4,0,0,1,80.5,80.5,0.56,0,0,0,0,0,0,0,0.75,0,0.25,0,0
"157",1991,1,4,0,0,1,81.5,81.5,0.7,0,0,0,0,0,0,0,0.8,0,0,0.2,0
"158",1991,1,4,0,0,1,82.5,82.5,0.7,0,0,0,0,0,0,0,0.6,0,0.2,0,0.2
"159",1991,1,4,0,0,1,83.5,83.5,0.56,0,0,0,0,0,0,0,0.5,0,0.5,0,0
"160",1991,1,4,0,0,1,84.5,84.5,0.28,0,0,0,0,0,0,0,0,0.5,0,0.5,0
"161",1991,1,4,0,0,1,87.5,87.5,0.56,0,0,0,0,0,0,0,0.5,0.25,0.25,0,0
"162",1991,1,4,0,0,1,88.5,88.5,0.14,0,0,0,0,0,0,0,1,0,0,0,0
"163",1991,1,4,0,0,1,89.5,89.5,0.42,0,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333
"164",1991,1,4,0,0,1,91.5,91.5,0.14,0,0,0,0,0,0,0,0,0,0,1,0
"165",1991,1,4,0,0,1,92.5,92.5,0.14,0,0,0,0,0,0,0,0,0,1,0,0
"166",1991,1,4,0,0,1,93.5,93.5,0.14,0,0,0,0,0,0,0,0,0,1,0,0
"167",1991,1,4,0,0,1,97.5,97.5,0.14,0,0,0,0,0,0,0,0,0,0,0,1
"168",1992,1,4,0,0,1,100.5,100.5,0.14,0,0,0,0,0,0,0,0,0,0,1,0
"169",1992,1,4,0,0,1,102.5,102.5,0.14,0,0,0,0,0,0,0,0,0,0,0,1
"170",1992,1,4,0,0,1,116.5,116.5,0.14,0,0,0,0,0,0,0,0,0,0,0,1
"171",1992,1,4,0,0,1,12.5,12.5,0.56,1,0,0,0,0,0,0,0,0,0,0,0
"172",1992,1,4,0,0,1,13.5,13.5,0.28,1,0,0,0,0,0,0,0,0,0,0,0
"173",1992,1,4,0,0,1,14.5,14.5,0.7,1,0,0,0,0,0,0,0,0,0,0,0
"174",1992,1,4,0,0,1,15.5,15.5,0.84,1,0,0,0,0,0,0,0,0,0,0,0
"175",1992,1,4,0,0,1,16.5,16.5,1.4,1,0,0,0,0,0,0,0,0,0,0,0
"176",1992,1,4,0,0,1,17.5,17.5,1.54,0.818181818181818,0.181818181818182,0,0,0,0,0,0,0,0,0,0
"177",1992,1,4,0,0,1,18.5,18.5,1.68,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0
"178",1992,1,4,0,0,1,19.5,19.5,1.4,0.9,0.1,0,0,0,0,0,0,0,0,0,0
"179",1992,1,4,0,0,1,20.5,20.5,1.68,0.416666666666667,0.583333333333333,0,0,0,0,0,0,0,0,0,0
"180",1992,1,4,0,0,1,21.5,21.5,1.54,0.454545454545455,0.545454545454545,0,0,0,0,0,0,0,0,0,0
"181",1992,1,4,0,0,1,22.5,22.5,1.4,0.4,0.6,0,0,0,0,0,0,0,0,0,0
"182",1992,1,4,0,0,1,23.5,23.5,1.68,0.25,0.75,0,0,0,0,0,0,0,0,0,0
"183",1992,1,4,0,0,1,24.5,24.5,1.4,0,0.9,0.1,0,0,0,0,0,0,0,0,0
"184",1992,1,4,0,0,1,25.5,25.5,1.68,0,1,0,0,0,0,0,0,0,0,0,0
"185",1992,1,4,0,0,1,26.5,26.5,2.52,0,0.888888888888889,0.111111111111111,0,0,0,0,0,0,0,0,0
"186",1992,1,4,0,0,1,27.5,27.5,2.1,0,0.8,0.2,0,0,0,0,0,0,0,0,0
"187",1992,1,4,0,0,1,28.5,28.5,2.66,0,0.578947368421053,0.421052631578947,0,0,0,0,0,0,0,0,0
"188",1992,1,4,0,0,1,29.5,29.5,2.24,0,0.4375,0.5625,0,0,0,0,0,0,0,0,0
"189",1992,1,4,0,0,1,30.5,30.5,2.8,0,0.15,0.85,0,0,0,0,0,0,0,0,0
"190",1992,1,4,0,0,1,31.5,31.5,2.1,0,0.133333333333333,0.866666666666667,0,0,0,0,0,0,0,0,0
"191",1992,1,4,0,0,1,32.5,32.5,2.38,0,0.0588235294117647,0.941176470588235,0,0,0,0,0,0,0,0,0
"192",1992,1,4,0,0,1,33.5,33.5,3.22,0,0,0.956521739130435,0.0434782608695652,0,0,0,0,0,0,0,0
"193",1992,1,4,0,0,1,34.5,34.5,2.38,0,0,0.941176470588235,0.0588235294117647,0,0,0,0,0,0,0,0
"194",1992,1,4,0,0,1,35.5,35.5,1.82,0,0,0.923076923076923,0.0769230769230769,0,0,0,0,0,0,0,0
"195",1992,1,4,0,0,1,36.5,36.5,1.82,0,0,0.923076923076923,0.0769230769230769,0,0,0,0,0,0,0,0
"196",1992,1,4,0,0,1,37.5,37.5,1.54,0,0,0.909090909090909,0.0909090909090909,0,0,0,0,0,0,0,0
"197",1992,1,4,0,0,1,38.5,38.5,1.26,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"198",1992,1,4,0,0,1,39.5,39.5,1.68,0,0,0.25,0.75,0,0,0,0,0,0,0,0
"199",1992,1,4,0,0,1,40.5,40.5,2.38,0,0,0.117647058823529,0.882352941176471,0,0,0,0,0,0,0,0
"200",1992,1,4,0,0,1,41.5,41.5,1.68,0,0,0,0.916666666666667,0.0833333333333333,0,0,0,0,0,0,0
"201",1992,1,4,0,0,1,42.5,42.5,2.1,0,0,0,1,0,0,0,0,0,0,0,0
"202",1992,1,4,0,0,1,43.5,43.5,2.1,0,0,0,1,0,0,0,0,0,0,0,0
"203",1992,1,4,0,0,1,44.5,44.5,2.38,0,0,0,1,0,0,0,0,0,0,0,0
"204",1992,1,4,0,0,1,45.5,45.5,2.52,0,0,0,0.944444444444444,0.0555555555555556,0,0,0,0,0,0,0
"205",1992,1,4,0,0,1,46.5,46.5,1.54,0,0,0,0.909090909090909,0.0909090909090909,0,0,0,0,0,0,0
"206",1992,1,4,0,0,1,47.5,47.5,1.54,0,0,0,0.727272727272727,0.272727272727273,0,0,0,0,0,0,0
"207",1992,1,4,0,0,1,48.5,48.5,1.54,0,0,0,0.818181818181818,0.181818181818182,0,0,0,0,0,0,0
"208",1992,1,4,0,0,1,49.5,49.5,1.96,0,0,0,0.5,0.5,0,0,0,0,0,0,0
"209",1992,1,4,0,0,1,50.5,50.5,1.96,0,0,0,0.0714285714285714,0.928571428571429,0,0,0,0,0,0,0
"210",1992,1,4,0,0,1,51.5,51.5,1.26,0,0,0,0,1,0,0,0,0,0,0,0
"211",1992,1,4,0,0,1,52.5,52.5,0.98,0,0,0,0.142857142857143,0.857142857142857,0,0,0,0,0,0,0
"212",1992,1,4,0,0,1,53.5,53.5,0.98,0,0,0,0,1,0,0,0,0,0,0,0
"213",1992,1,4,0,0,1,54.5,54.5,0.98,0,0,0,0,1,0,0,0,0,0,0,0
"214",1992,1,4,0,0,1,55.5,55.5,1.4,0,0,0,0,1,0,0,0,0,0,0,0
"215",1992,1,4,0,0,1,56.5,56.5,0.56,0,0,0,0,0.5,0.5,0,0,0,0,0,0
"216",1992,1,4,0,0,1,57.5,57.5,1.12,0,0,0,0,0.875,0.125,0,0,0,0,0,0
"217",1992,1,4,0,0,1,58.5,58.5,1.12,0,0,0,0,0.875,0.125,0,0,0,0,0,0
"218",1992,1,4,0,0,1,59.5,59.5,0.7,0,0,0,0,0,1,0,0,0,0,0,0
"219",1992,1,4,0,0,1,60.5,60.5,0.7,0,0,0,0,0,0.8,0.2,0,0,0,0,0
"220",1992,1,4,0,0,1,61.5,61.5,0.56,0,0,0,0,0,1,0,0,0,0,0,0
"221",1992,1,4,0,0,1,62.5,62.5,0.56,0,0,0,0,0,1,0,0,0,0,0,0
"222",1992,1,4,0,0,1,63.5,63.5,0.98,0,0,0,0,0,1,0,0,0,0,0,0
"223",1992,1,4,0,0,1,64.5,64.5,1.12,0,0,0,0,0,0.625,0.375,0,0,0,0,0
"224",1992,1,4,0,0,1,65.5,65.5,0.56,0,0,0,0,0,0.5,0.5,0,0,0,0,0
"225",1992,1,4,0,0,1,66.5,66.5,0.28,0,0,0,0,0,1,0,0,0,0,0,0
"226",1992,1,4,0,0,1,67.5,67.5,0.98,0,0,0,0,0,0.571428571428571,0.285714285714286,0.142857142857143,0,0,0,0
"227",1992,1,4,0,0,1,68.5,68.5,0.56,0,0,0,0,0,1,0,0,0,0,0,0
"228",1992,1,4,0,0,1,69.5,69.5,0.84,0,0,0,0,0,0.166666666666667,0.833333333333333,0,0,0,0,0
"229",1992,1,4,0,0,1,70.5,70.5,0.84,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0,0,0,0
"230",1992,1,4,0,0,1,71.5,71.5,0.28,0,0,0,0,0,0,0.5,0,0.5,0,0,0
"231",1992,1,4,0,0,1,72.5,72.5,0.42,0,0,0,0,0,0,1,0,0,0,0,0
"232",1992,1,4,0,0,1,73.5,73.5,0.7,0,0,0,0,0,0,0.8,0.2,0,0,0,0
"233",1992,1,4,0,0,1,74.5,74.5,0.56,0,0,0,0,0,0,0.75,0.25,0,0,0,0
"234",1992,1,4,0,0,1,75.5,75.5,0.7,0,0,0,0,0,0,0.6,0.4,0,0,0,0
"235",1992,1,4,0,0,1,76.5,76.5,0.84,0,0,0,0,0,0,0.666666666666667,0.166666666666667,0,0,0.166666666666667,0
"236",1992,1,4,0,0,1,77.5,77.5,0.7,0,0,0,0,0,0,0.8,0.2,0,0,0,0
